Dam (m²/s);Densidade (mol/m³);Pressão de vapor (Pa);Tempo de evaporação (s)
5.00000e-05;1000.00;3.09;16018784.48
5.55556e-05;1000.00;3.09;14416906.03
6.11111e-05;1000.00;3.09;13106278.21
6.66667e-05;1000.00;3.09;12014088.36
7.22222e-05;1000.00;3.09;11089927.72
7.77778e-05;1000.00;3.09;10297790.02
8.33333e-05;1000.00;3.09;9611270.69
8.88889e-05;1000.00;3.09;9010566.27
9.44444e-05;1000.00;3.09;8480532.96
1.00000e-04;1000.00;3.09;8009392.24
5.00000e-05;1022.22;3.09;16374757.47
5.55556e-05;1022.22;3.09;14737281.72
6.11111e-05;1022.22;3.09;13397528.84
6.66667e-05;1022.22;3.09;12281068.10
7.22222e-05;1022.22;3.09;11336370.56
7.77778e-05;1022.22;3.09;10526629.80
8.33333e-05;1022.22;3.09;9824854.48
8.88889e-05;1022.22;3.09;9210801.08
9.44444e-05;1022.22;3.09;8668989.25
1.00000e-04;1022.22;3.09;8187378.74
5.00000e-05;1044.44;3.09;16730730.46
5.55556e-05;1044.44;3.09;15057657.41
6.11111e-05;1044.44;3.09;13688779.47
6.66667e-05;1044.44;3.09;12548047.84
7.22222e-05;1044.44;3.09;11582813.40
7.77778e-05;1044.44;3.09;10755469.58
8.33333e-05;1044.44;3.09;10038438.28
8.88889e-05;1044.44;3.09;9411035.88
9.44444e-05;1044.44;3.09;8857445.54
1.00000e-04;1044.44;3.09;8365365.23
5.00000e-05;1066.67;3.09;17086703.45
5.55556e-05;1066.67;3.09;15378033.10
6.11111e-05;1066.67;3.09;13980030.09
6.66667e-05;1066.67;3.09;12815027.59
7.22222e-05;1066.67;3.09;11829256.23
7.77778e-05;1066.67;3.09;10984309.36
8.33333e-05;1066.67;3.09;10252022.07
8.88889e-05;1066.67;3.09;9611270.69
9.44444e-05;1066.67;3.09;9045901.83
1.00000e-04;1066.67;3.09;8543351.72
5.00000e-05;1088.89;3.09;17442676.44
5.55556e-05;1088.89;3.09;15698408.79
6.11111e-05;1088.89;3.09;14271280.72
6.66667e-05;1088.89;3.09;13082007.33
7.22222e-05;1088.89;3.09;12075699.07
7.77778e-05;1088.89;3.09;11213149.14
8.33333e-05;1088.89;3.09;10465605.86
8.88889e-05;1088.89;3.09;9811505.50
