Distância da Fonte [R];Dam [m²/2];Pressao parcial [Pa];Distribuição do Tempo de Difusão;Pressão Total [P]
0.028;9e-05;3.008;3869.68;4
0.037;9e-05;3.008;6757.14;4
0.046;9e-05;3.008;10444.2;4
0.055;9e-05;3.008;14930.9;4
0.064;9e-05;3.008;20217.1;4
0.073;9e-05;3.008;26303;4
0.082;9e-05;3.008;33188.5;4
0.091;9e-05;3.008;40873.5;4
0.1;9e-05;3.008;49358.2;4
0.01;9.5e-05;3.008;467.604;4
0.019;9.5e-05;3.008;1688.05;4
0.028;9.5e-05;3.008;3666.02;4
0.037;9.5e-05;3.008;6401.5;4
0.046;9.5e-05;3.008;9894.5;4
0.055;9.5e-05;3.008;14145;4
0.064;9.5e-05;3.008;19153.1;4
0.073;9.5e-05;3.008;24918.6;4
0.082;9.5e-05;3.008;31441.7;4
0.091;9.5e-05;3.008;38722.3;4
0.1;9.5e-05;3.008;46760.4;4
0.01;0.0001;3.008;444.224;4
0.019;0.0001;3.008;1603.65;4
0.028;0.0001;3.008;3482.71;4
0.037;0.0001;3.008;6081.42;4
0.046;0.0001;3.008;9399.78;4
0.055;0.0001;3.008;13437.8;4
0.064;0.0001;3.008;18195.4;4
0.073;0.0001;3.008;23672.7;4
0.082;0.0001;3.008;29869.6;4
0.091;0.0001;3.008;36786.2;4
0.1;0.0001;3.008;44422.4;4
0.01;5e-05;3.072;847.892;4
0.019;5e-05;3.072;3060.89;4
0.028;5e-05;3.072;6647.48;4
0.037;5e-05;3.072;11607.6;4
0.046;5e-05;3.072;17941.4;4
0.055;5e-05;3.072;25648.7;4
0.064;5e-05;3.072;34729.7;4
0.073;5e-05;3.072;45184.2;4
0.082;5e-05;3.072;57012.3;4
0.091;5e-05;3.072;70214;4
0.1;5e-05;3.072;84789.2;4
0.01;5.5e-05;3.072;770.811;4
0.019;5.5e-05;3.072;2782.63;4
0.028;5.5e-05;3.072;6043.16;4
0.037;5.5e-05;3.072;10552.4;4
0.046;5.5e-05;3.072;16310.4;4
0.055;5.5e-05;3.072;23317;4
0.064;5.5e-05;3.072;31572.4;4
0.073;5.5e-05;3.072;41076.5;4
0.082;5.5e-05;3.072;51829.4;4
0.091;5.5e-05;3.072;63830.9;4
0.1;5.5e-05;3.072;77081.1;4
0.01;6e-05;3.072;706.577;4
0.019;6e-05;3.072;2550.74;4
0.028;6e-05;3.072;5539.56;4
0.037;6e-05;3.072;9673.04;4
0.046;6e-05;3.072;14951.2;4
0.055;6e-05;3.072;21374;4
0.064;6e-05;3.072;28941.4;4
0.073;6e-05;3.072;37653.5;4
0.082;6e-05;3.072;47510.2;4
0.091;6e-05;3.072;58511.6;4
0.1;6e-05;3.072;70657.7;4
0.01;6.5e-05;3.072;652.225;4
0.019;6.5e-05;3.072;2354.53;4
0.028;6.5e-05;3.072;5113.44;4
0.037;6.5e-05;3.072;8928.96;4
0.046;6.5e-05;3.072;13801.1;4
0.055;6.5e-05;3.072;19729.8;4
0.064;6.5e-05;3.072;26715.1;4
0.073;6.5e-05;3.072;34757.1;4
0.082;6.5e-05;3.072;43855.6;4
0.091;6.5e-05;3.072;54010.7;4
0.1;6.5e-05;3.072;65222.5;4
0.01;7e-05;3.072;605.637;4
0.019;7e-05;3.072;2186.35;4
0.028;7e-05;3.072;4748.2;4
0.037;7e-05;3.072;8291.18;4
0.046;7e-05;3.072;12815.3;4
0.055;7e-05;3.072;18320.5;4
0.064;7e-05;3.072;24806.9;4
0.073;7e-05;3.072;32274.4;4
0.082;7e-05;3.072;40723.1;4
0.091;7e-05;3.072;50152.8;4
0.1;7e-05;3.072;60563.7;4
0.01;7.5e-05;3.072;565.262;4
0.019;7.5e-05;3.072;2040.59;4
0.028;7.5e-05;3.072;4431.65;4
0.037;7.5e-05;3.072;7738.43;4
0.046;7.5e-05;3.072;11960.9;4
0.055;7.5e-05;3.072;17099.2;4
0.064;7.5e-05;3.072;23153.1;4
0.073;7.5e-05;3.072;30122.8;4
0.082;7.5e-05;3.072;38008.2;4
0.091;7.5e-05;3.072;46809.3;4
0.1;7.5e-05;3.072;56526.2;4
