Dam_m2_s;Ca_mol_m3;L_membrana_m
1.128205e-05;0.676923;75.994723
1.128205e-05;0.684615;74.185325
1.128205e-05;0.692308;72.375927
1.128205e-05;0.700000;70.566529
1.128205e-05;0.707692;68.757130
1.128205e-05;0.715385;66.947732
1.128205e-05;0.723077;65.138334
1.128205e-05;0.730769;63.328936
1.128205e-05;0.738462;61.519538
1.128205e-05;0.746154;59.710140
1.128205e-05;0.753846;57.900741
1.128205e-05;0.761538;56.091343
1.128205e-05;0.769231;54.281945
1.128205e-05;0.776923;52.472547
1.128205e-05;0.784615;50.663149
1.128205e-05;0.792308;48.853751
1.128205e-05;0.800000;47.044352
1.153846e-05;0.500000;114.997306
1.153846e-05;0.507692;113.228117
1.153846e-05;0.515385;111.458927
1.153846e-05;0.523077;109.689738
1.153846e-05;0.530769;107.920549
1.153846e-05;0.538462;106.151359
1.153846e-05;0.546154;104.382170
1.153846e-05;0.553846;102.612981
1.153846e-05;0.561538;100.843791
1.153846e-05;0.569231;99.074602
1.153846e-05;0.576923;97.305413
1.153846e-05;0.584615;95.536223
1.153846e-05;0.592308;93.767034
1.153846e-05;0.600000;91.997845
1.153846e-05;0.607692;90.228655
1.153846e-05;0.615385;88.459466
1.153846e-05;0.623077;86.690277
1.153846e-05;0.630769;84.921087
1.153846e-05;0.638462;83.151898
1.153846e-05;0.646154;81.382709
1.153846e-05;0.653846;79.613519
1.153846e-05;0.661538;77.844330
1.153846e-05;0.669231;76.075141
1.153846e-05;0.676923;74.305951
1.153846e-05;0.684615;72.536762
1.153846e-05;0.692308;70.767573
1.153846e-05;0.700000;68.998383
1.153846e-05;0.707692;67.229194
1.153846e-05;0.715385;65.460005
1.153846e-05;0.723077;63.690816
1.153846e-05;0.730769;61.921626
1.153846e-05;0.738462;60.152437
1.153846e-05;0.746154;58.383248
1.153846e-05;0.753846;56.614058
1.153846e-05;0.761538;54.844869
1.153846e-05;0.769231;53.075680
1.153846e-05;0.776923;51.306490
1.153846e-05;0.784615;49.537301
1.153846e-05;0.792308;47.768112
1.153846e-05;0.800000;45.998922
1.179487e-05;0.500000;112.497364
1.179487e-05;0.507692;110.766636
1.179487e-05;0.515385;109.035907
1.179487e-05;0.523077;107.305178
1.179487e-05;0.530769;105.574450
1.179487e-05;0.538462;103.843721
1.179487e-05;0.546154;102.112992
1.179487e-05;0.553846;100.382264
1.179487e-05;0.561538;98.651535
1.179487e-05;0.569231;96.920806
1.179487e-05;0.576923;95.190078
1.179487e-05;0.584615;93.459349
1.179487e-05;0.592308;91.728620
1.179487e-05;0.600000;89.997892
1.179487e-05;0.607692;88.267163
1.179487e-05;0.615385;86.536434
1.179487e-05;0.623077;84.805705
1.179487e-05;0.630769;83.074977
1.179487e-05;0.638462;81.344248
1.179487e-05;0.646154;79.613519
1.179487e-05;0.653846;77.882791
1.179487e-05;0.661538;76.152062
1.179487e-05;0.669231;74.421333
1.179487e-05;0.676923;72.690605
1.179487e-05;0.684615;70.959876
1.179487e-05;0.692308;69.229147
1.179487e-05;0.700000;67.498419
1.179487e-05;0.707692;65.767690
1.179487e-05;0.715385;64.036961
1.179487e-05;0.723077;62.306233
1.179487e-05;0.730769;60.575504
1.179487e-05;0.738462;58.844775
1.179487e-05;0.746154;57.114047
1.179487e-05;0.753846;55.383318
1.179487e-05;0.761538;53.652589
1.179487e-05;0.769231;51.921860
1.179487e-05;0.776923;50.191132
1.179487e-05;0.784615;48.460403
1.179487e-05;0.792308;46.729674
1.179487e-05;0.800000;44.998946
1.205128e-05;0.500000;110.103803
1.205128e-05;0.507692;108.409899
1.205128e-05;0.515385;106.715994
1.205128e-05;0.523077;105.022089
1.205128e-05;0.530769;103.328185
1.205128e-05;0.538462;101.634280
1.205128e-05;0.546154;99.940375
1.205128e-05;0.553846;98.246471
1.205128e-05;0.561538;96.552566
1.205128e-05;0.569231;94.858661
1.205128e-05;0.576923;93.164757
1.205128e-05;0.584615;91.470852
1.205128e-05;0.592308;89.776947
1.205128e-05;0.600000;88.083043
1.205128e-05;0.607692;86.389138
1.205128e-05;0.615385;84.695233
1.205128e-05;0.623077;83.001329
1.205128e-05;0.630769;81.307424
1.205128e-05;0.638462;79.613519
1.205128e-05;0.646154;77.919615
1.205128e-05;0.653846;76.225710
1.205128e-05;0.661538;74.531805
