Dam (Difusividade no ar);Densidade;Pressão de Vapor;Tempo de Evaporacao;Pressão Total
9.5e-05;1020;3.008;4.47146e+10;4
0.0001;1020;3.008;4.24789e+10;4
5e-05;1040;3.008;8.66236e+10;4
5.5e-05;1040;3.008;7.87488e+10;4
6e-05;1040;3.008;7.21864e+10;4
6.5e-05;1040;3.008;6.66336e+10;4
7e-05;1040;3.008;6.1874e+10;4
7.5e-05;1040;3.008;5.77491e+10;4
8e-05;1040;3.008;5.41398e+10;4
8.5e-05;1040;3.008;5.09551e+10;4
9e-05;1040;3.008;4.81242e+10;4
9.5e-05;1040;3.008;4.55914e+10;4
0.0001;1040;3.008;4.33118e+10;4
5e-05;1060;3.008;8.82895e+10;4
5.5e-05;1060;3.008;8.02632e+10;4
6e-05;1060;3.008;7.35746e+10;4
6.5e-05;1060;3.008;6.7915e+10;4
7e-05;1060;3.008;6.30639e+10;4
7.5e-05;1060;3.008;5.88597e+10;4
8e-05;1060;3.008;5.51809e+10;4
8.5e-05;1060;3.008;5.1935e+10;4
9e-05;1060;3.008;4.90497e+10;4
9.5e-05;1060;3.008;4.64681e+10;4
0.0001;1060;3.008;4.41447e+10;4
5e-05;1080;3.008;8.99553e+10;4
5.5e-05;1080;3.008;8.17776e+10;4
6e-05;1080;3.008;7.49628e+10;4
6.5e-05;1080;3.008;6.91964e+10;4
7e-05;1080;3.008;6.42538e+10;4
7.5e-05;1080;3.008;5.99702e+10;4
8e-05;1080;3.008;5.62221e+10;4
8.5e-05;1080;3.008;5.29149e+10;4
9e-05;1080;3.008;4.99752e+10;4
9.5e-05;1080;3.008;4.73449e+10;4
0.0001;1080;3.008;4.49777e+10;4
5e-05;1100;3.008;9.16212e+10;4
5.5e-05;1100;3.008;8.3292e+10;4
6e-05;1100;3.008;7.6351e+10;4
6.5e-05;1100;3.008;7.04778e+10;4
7e-05;1100;3.008;6.54437e+10;4
7.5e-05;1100;3.008;6.10808e+10;4
